Info,Multi-mappings,Left-side churn,Right-side churn,Challenge level,Comments
https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,TRUE,0.01102464332,0.00974025974,high,-
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,FALSE,0.02985074627,0.01515151515,low,Move class refactoring perfored between files (
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,FALSE,0.5394736842,0.5333333333,medium,Inter-file mappings including the move of the feilds BlockMeta to BlockMetaBase + the assignment inside the constructor
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,FALSE,0.01639344262,0.1044776119,low,Method `freeSpace` has been inlined
https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,TRUE,0.2976190476,0.1917808219,medium,The extract method refactoring performed to remove the code duplication
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,TRUE,0.195335277,0.09803921569,high,"File RemoteBlockOutStream.java: makes sense to match the mOpen and mClosed in the if statements based on the behavior of the code,  File BlockOutStreamIntegrationTest.java duplication has been removed due to the extract method refactoring"
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,FALSE,0.204007286,0.08,low,-
https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,FALSE,0.05303030303,0.007936507937,medium,-
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,FALSE,0.07344632768,0.03718199609,medium,Method `getInheritedPrivateFields` has been moved from `InjectableObjectFactory.java` to `Utils.java`
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,FALSE,0.008718395815,0.008718395815,medium,The assignment in the constructor has also been moved to support the move attribute refactoring
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,TRUE,0.0783817952,0.03571428571,medium,Method `getEntityForm` has been extracted and the import statement has been grouped
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86,FALSE,0.0734223301,0.06433823529,low,Extract method refactorings performed to enhance the code readbility
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,FALSE,0.01141924959,0.003289473684,low,-
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,FALSE,0.02935010482,0,low,Method `startAsync` has been extracted
https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89,FALSE,0.003951825367,0.00245005654,low,Extract method refactoring `initTickerView` performed
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,FALSE,0.006940063091,0.0006349206349,low,-
https://github.com/CyanogenMod/android_frameworks_base/commit/96a2c3410f3c71d3ab20857036422f1d64c3a6d3,FALSE,0.007490636704,0.005361930295,low,Extract method refactoring `cleanupProximityLocked` performed
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,FALSE,0.006354249404,0.01002374044,low,"L2609 -> R2606 are invocation to different methods but same intention, thus it is better to match the statements."
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,FALSE,0.01717557252,0.002582311168,medium,"The extraction of `stringToPattern` method, has caused the parameterization of the `byte size` variable and `getLockPatternSize()` which is the passed argument now serves as the parameter."
https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,TRUE,0.03720930233,0.008778930567,medium,"The declaration and the assignment for the variable `ClassLoader loader` has been seperated, and the new intializer cannot be matched with any subtree from the parent version, Two extract method refactoring perfmored `classForName` which suggests the mapping for the className argument"
https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f,FALSE,0.05602240896,0.04261363636,medium,int `lineNumber` has now become a field and `getIntervalHistogram` method has been extracted
https://github.com/JetBrains/MPS/commit/61b5decd4a4e5e6bbdea99eb76f136ca10915b73,FALSE,0.1686746988,0.01428571429,low,Method startInsertMode has been extracted
https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764,FALSE,0.01123595506,0.007252215955,low,"L70 -> R71 are actually calling the same method, thus its better to match the entire statements Generator.java "
https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe,FALSE,0.02469135802,0.05389221557,medium,Inline Method refactoring with the different statement inside the for loop
https://github.com/JetBrains/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee,FALSE,0.002082369273,0.0004634994206,low,
https://github.com/JetBrains/intellij-community/commit/33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,FALSE,0.00991114149,0.00889497092,medium,Method `iterateRecursively` has been moved from `FileBasedIndexImpl.java` to `FileBasedIndex.java`
https://github.com/JetBrains/intellij-community/commit/61215911ef28ca783c5106d7c01e74cf3000a866,FALSE,0.01545253863,0.004464285714,low,Extract method refactoring `format` performed
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,TRUE,0.0137892995,0.01215469613,medium,-
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,FALSE,0.007117437722,0.007117437722,low,-
